"trial.nm","app.date","pmid","meas.tech","meas.tech2","aer","aer.grp","cta","air.temp.mean","air.temp.min","air.temp.max","wind.2m.mean","wind.2m.min","wind.2m.max","rain.cum","rain.cum.48","j.NH3.mean","j.NH3.min","j.NH3.max","e.cum.final","e.rel.final","e.cum.168","e.rel.168"
"A 11 Aug","2021-08-11",1904,"Wind tunnel","wt",29.6,"High 30 or 54",185,15.4,11.3,22.3,0.4,0.4,0.4,0,0,0.196,0.00243,3.47,36.3,0.532,36.1,0.529
"A 11 Aug","2021-08-11",1905,"Wind tunnel","wt",24.4,"Medium 25",185,15.4,11.3,22.3,0.33,0.33,0.33,0,0,0.185,0.00793,3.24,34.1,0.5,34,0.498
"A 11 Aug","2021-08-11",1906,"Wind tunnel","wt",20,"Low 7 or 20",185,15.4,11.3,22.3,0.27,0.27,0.27,0,0,0.193,0.00639,3.49,35.6,0.522,35.5,0.52
"A 11 Aug","2021-08-11",1907,"Wind tunnel","wt",24.4,"Medium 25",185,15.4,11.3,22.3,0.33,0.33,0.33,0,0,0.208,0.00847,3.21,38.5,0.565,38.3,0.562
"A 11 Aug","2021-08-11",1908,"Wind tunnel","wt",20,"Low 7 or 20",185,15.4,11.3,22.3,0.27,0.27,0.27,0,0,0.184,0.00752,2.89,34,0.499,33.9,0.496
"A 11 Aug","2021-08-11",1909,"Wind tunnel","wt",29.6,"High 30 or 54",185,15.4,11.3,22.2,0.4,0.4,0.4,0,0,0.21,0.00751,3.34,38.8,0.569,38.6,0.566
"A 11 Aug","2021-08-11",1910,"Wind tunnel","wt",24.4,"Medium 25",185,15.4,11.4,22.2,0.33,0.33,0.33,0,0,0.199,0.00717,3.54,36.8,0.54,36.7,0.537
"B 20 Aug","2021-08-20",1911,"Wind tunnel","wt",7.4,"Low 7 or 20",181,14.7,8,21.6,0.1,0.1,0.1,0,0,0.161,0.0112,1.96,29,0.415,28.8,0.412
"B 20 Aug","2021-08-20",1912,"Wind tunnel","wt",24.4,"Medium 25",181,14.7,8.1,21.6,0.33,0.33,0.33,0,0,0.182,0.0126,2.84,32.9,0.469,32.6,0.466
"B 20 Aug","2021-08-20",1913,"Wind tunnel","wt",24.4,"Medium 25",181,14.7,8,21.4,0.33,0.33,0.33,0,0,0.175,0.0103,2.76,31.6,0.451,31.4,0.448
"B 20 Aug","2021-08-20",1914,"Wind tunnel","wt",7.4,"Low 7 or 20",181,14.7,8,21.4,0.1,0.1,0.1,0,0,0.13,0.00781,1.56,23.4,0.335,23.3,0.333
"B 20 Aug","2021-08-20",1915,"Wind tunnel","wt",24.4,"Medium 25",181,14.7,8,21.4,0.33,0.33,0.33,0,0,0.182,0.0125,2.43,33,0.471,32.7,0.468
"B 20 Aug","2021-08-20",1916,"Wind tunnel","wt",53.3,"High 30 or 54",181,14.7,8,21.6,0.72,0.72,0.72,0,0,0.218,0.0135,3.18,39.4,0.563,39.2,0.559
"B 20 Aug","2021-08-20",1917,"Wind tunnel","wt",53.3,"High 30 or 54",181,14.7,8,21.6,0.72,0.72,0.72,0,0,0.208,0.0121,3.32,37.6,0.537,37.4,0.534
"C 05 Jan","2022-01-05",1918,"Wind tunnel","wt",24.4,"Medium 25",211,2.46,-3.4,8.8,0.33,0.33,0.33,0,0,0.116,0.024,0.718,24.4,0.396,22.5,0.365
"C 05 Jan","2022-01-05",1919,"Wind tunnel","wt",7.4,"Low 7 or 20",211,2.46,-3.4,8.8,0.1,0.1,0.1,0,0,0.12,0,0.516,25.7,0.417,23.8,0.385
"C 05 Jan","2022-01-05",1920,"Wind tunnel","wt",24.4,"Medium 25",211,2.48,-3.4,8.8,0.33,0.33,0.33,0,0,0.119,0,0.854,25.1,0.407,23.3,0.378
"C 05 Jan","2022-01-05",1921,"Wind tunnel","wt",53.3,"High 30 or 54",211,2.46,-3.4,8.8,0.72,0.72,0.72,0,0,0.143,0.0295,1.11,30.1,0.488,28.4,0.46
"C 05 Jan","2022-01-05",1922,"Wind tunnel","wt",7.4,"Low 7 or 20",211,2.47,-3.4,8.5,0.1,0.1,0.1,0,0,0.0763,0.0184,0.431,16.1,0.261,14.7,0.238
"C 05 Jan","2022-01-05",1923,"Wind tunnel","wt",53.3,"High 30 or 54",211,2.49,-3.3,8.5,0.72,0.72,0.72,0,0,0.171,0.0309,1.67,36.1,0.585,34.2,0.554
"C 05 Jan","2022-01-05",1924,"Wind tunnel","wt",7.4,"Low 7 or 20",211,2.48,-3.3,8.5,0.1,0.1,0.1,0,0,0.107,0,0.535,22.6,0.366,20.8,0.337
"C 05 Jan","2022-01-05",1925,"Wind tunnel","wt",53.3,"High 30 or 54",211,2.48,-3.3,8.5,0.72,0.72,0.72,0,0,0.142,0,1.31,30,0.485,28.6,0.463
"A 11 Aug","2021-08-11",1935,"bLS","micro met",NA,NA,186,15.4,11.3,22.3,2.4,0.159,5.32,24.5,0.1,0.0983,0.00135,3.04,18.4,0.269,18.2,0.267
"B 20 Aug","2021-08-20",1936,"bLS","micro met",NA,NA,239,14.8,8,21.6,2.3,0.0765,5.74,0.6,0.3,0.15,0.000557,5.11,35.9,0.512,34.9,0.498
"C 05 Jan","2022-01-05",1938,"bLS","micro met",NA,NA,211,2.48,-3.4,8.8,2.8,0.487,7.49,14.2,1.5,0.0505,-0.0047,0.748,10.7,0.174,10.2,0.166
