"par","value","cal"
"int.f0",0.786135829788026,TRUE
"bLS.r1",-2.79513187150161,TRUE
"wt.r1",-1.92041478752038,TRUE
"air.temp.r1",0.0350484970821736,TRUE
"wind.wt.r1",0.591213130701409,TRUE
"wind.bLS.r1",0.660058553272463,TRUE
"int.r2",-1.39513987881312,TRUE
"rain.rate.r2",0.880906012495373,TRUE
"bLS.r3",-3.9994969578512,TRUE
"wt.r3",-3.22697479780046,TRUE
"wind.wt.r3",0.296364514159758,TRUE
"wind.bLS.r3",0.163847860160773,TRUE
"air.temp.r3",0,TRUE
"man.dm.f0",0.399670699937794,FALSE
"man.dm.r1",-0.139881887708132,FALSE
"man.ph.r1",0.665,FALSE
"man.ph.r3",0.238,FALSE
