"par","value.ps2","value.calb","cal"
"air.temp.r1",0.0735426766754151,0.0350484970821736,TRUE
"air.temp.r3",NA,0,TRUE
"bLS.r1",NA,-2.79513187150161,TRUE
"bLS.r3",NA,-3.9994969578512,TRUE
"int.f0",-0.605683377135473,0.786135829788026,TRUE
"int.r2",-1.79918545831297,-1.39513987881312,TRUE
"rain.rate.r2",0.394021556916743,0.880906012495373,TRUE
"wind.bLS.r1",NA,0.660058553272463,TRUE
"wind.bLS.r3",NA,0.163847860160773,TRUE
"wind.wt.r1",NA,0.591213130701409,TRUE
"wind.wt.r3",NA,0.296364514159758,TRUE
"wt.r1",NA,-1.92041478752038,TRUE
"wt.r3",NA,-3.22697479780046,TRUE
